thr_atr,frac
2,1.0
3,1.0
4,0.9953703703703703
6,0.9537037037037037
8,0.8379629629629629
10,0.7638888888888888
15,0.5
20,0.27314814814814814
30,0.12037037037037036
50,0.041666666666666664
75,0.013888888888888888
100,0.004629629629629629
